FirstLastName,ListofAlexIds,Team,ReferencedIndividuals
Donato Di Monte,A5035849217,Schapira,[]
Su-Chun Zhang,A5030394012,Scherzer,[]
Peter Strick,A5084138592,Strick,[]
Gist Croft,A5086724086,Studer,[]
D. James (Jim) Surmeier,A5033742239,Surmeier,[]
Silvia Arber,A5020694621,Surmeier,[]
Jose Obeso,A5062838955,Vila,[]
Matthias Prigge,A5065389586,Vila,[]
Guy Boeckxstaens,A5051093942,Voet,[]
Hong-Yuan Chu,A5073427053,Wichmann,[]
Adriana Galvan,A5056482545,Wichmann,[]
